id,group,number,cooling.level,lo.timing,treatment.timing,lo.doy,measurement.date,apical,lateral
L199,L,199,3,early,3,131,04.07.23,5.81,4.92
L200,L,200,3,early,3,136,04.07.23,6.83,6.08
L201,L,201,3,early,3,136,04.07.23,5.2,5.31
L202,L,202,3,early,3,131,04.07.23,4.25,4.38
L203,L,203,3,early,3,131,04.07.23,2.6,7.4
L204,L,204,3,early,3,129,04.07.23,7.15,4.88
L205,L,205,3,early,3,131,04.07.23,4.52,3.22
L206,L,206,3,early,3,121,04.07.23,6,5.46
L207,L,207,3,early,3,142,04.07.23,5.31,5.2
L208,L,208,3,early,3,129,04.07.23,5.84,4.24
L209,L,209,3,early,3,137,04.07.23,Na,5.85
L210,L,210,3,early,3,131,04.07.23,5.96,5.32
L211,L,211,3,early,3,131,04.07.23,4.81,4.99
L212,L,212,3,early,3,129,04.07.23,7.45,5.52
L213,L,213,3,early,3,129,04.07.23,4.95,5.12
L214,L,214,3,early,3,129,04.07.23,3.99,2.97
L215,L,215,3,early,3,131,04.07.23,6.99,5.69
L216,L,216,3,early,3,139,04.07.23,4.01,3.64
L217,L,217,3,early,3,136,04.07.23,4.06,3.79
L218,L,218,3,early,3,125,04.07.23,8.25,6.8
L219,L,219,3,early,3,129,04.07.23,6.05,4.72
L220,L,220,3,early,3,121,04.07.23,4.51,4.15
L221,L,221,3,early,3,137,04.07.23,5.8,5.38
L222,L,222,3,early,3,129,04.07.23,6.67,4.07
L223,L,223,3,early,3,131,04.07.23,8.02,5.29
L224,L,224,3,early,3,129,04.07.23,8.18,6.5
L225,L,225,3,early,3,144,04.07.23,5.5,3.66
M226,M,226,3,late,3,148,04.07.23,3.9,3.87
M227,M,227,3,late,3,148,04.07.23,2.94,5.22
M228,M,228,3,late,3,148,04.07.23,5.89,4.54
M229,M,229,3,late,3,148,04.07.23,5.69,4.37
M230,M,230,3,late,3,148,04.07.23,6.95,5.99
M231,M,231,3,late,3,148,04.07.23,5.66,4.34
M232,M,232,3,late,3,145,04.07.23,4.53,4.32
M233,M,233,3,late,3,148,04.07.23,11.74,4.49
M234,M,234,3,late,3,148,04.07.23,6.05,4.45
M235,M,235,3,late,3,148,04.07.23,Na,4.19
M236,M,236,3,late,3,151,04.07.23,3.89,3.94
M237,M,237,3,late,3,150,04.07.23,1.98,3.25
M238,M,238,3,late,3,148,04.07.23,6.24,4.39
M239,M,239,3,late,3,148,04.07.23,5.02,4.48
M240,M,240,3,late,3,148,04.07.23,3.95,3.83
M241,M,241,3,late,3,148,04.07.23,7.96,3.1
M242,M,242,3,late,3,148,04.07.23,5.06,5.17
M243,M,243,3,late,3,148,04.07.23,6.19,4.86
M244,M,244,3,late,3,148,04.07.23,5.24,4.47
M245,M,245,3,late,3,148,04.07.23,7.88,5.81
M246,M,246,3,late,3,148,04.07.23,3.88,4.07
M247,M,247,3,late,3,148,04.07.23,5.29,4.6
M248,M,248,3,late,3,148,04.07.23,4.57,4.41
M249,M,249,3,late,3,148,04.07.23,5.25,4.24
M250,M,250,3,late,3,148,04.07.23,4.97,4.5
M251,M,251,3,late,3,148,04.07.23,6.7,6.29
N253,N,253,1,early,1,129,04.07.23,3.09,2.69
N254,N,254,1,early,1,129,04.07.23,5.95,4.4
N255,N,255,1,early,1,125,04.07.23,5.94,4.75
N256,N,256,1,early,1,129,04.07.23,4,3.94
N257,N,257,1,early,1,121,04.07.23,6.37,5
N258,N,258,1,early,1,131,04.07.23,5.22,4.8
N259,N,259,1,early,1,129,04.07.23,5.51,5.33
N260,N,260,1,early,1,131,04.07.23,3.98,3.5
N261,N,261,1,early,1,144,04.07.23,3.98,2.82
N262,N,262,1,early,1,138,04.07.23,7.45,5.11
N263,N,263,1,early,1,136,04.07.23,5.63,5.06
N264,N,264,1,early,1,129,04.07.23,3.35,3.63
N265,N,265,1,early,1,129,04.07.23,6.24,4.6
N266,N,266,1,early,1,129,04.07.23,3.84,3.01
N267,N,267,1,early,1,129,04.07.23,5.84,5.37
N268,N,268,1,early,1,125,04.07.23,4.92,3.84
N269,N,269,1,early,1,142,04.07.23,3.2,3.13
N270,N,270,1,early,1,136,04.07.23,5.1,6.5
N271,N,271,1,early,1,136,04.07.23,5.02,4.98
N272,N,272,1,early,1,129,04.07.23,6.1,3.76
N273,N,273,1,early,1,129,04.07.23,4.37,4.2
N274,N,274,1,early,1,125,04.07.23,4.1,3.96
N275,N,275,1,early,1,129,04.07.23,5.54,2.89
N276,N,276,1,early,1,136,04.07.23,4.51,5.14
N277,N,277,1,early,1,129,04.07.23,5.89,3.17
N278,N,278,1,early,1,137,04.07.23,7.41,3.76
O280,O,280,1,late,1,148,04.07.23,7.22,4.94
O281,O,281,1,late,1,150,04.07.23,9.65,3.88
O282,O,282,1,late,1,148,04.07.23,3.71,3.14
O283,O,283,1,late,1,148,04.07.23,Na,4.41
O284,O,284,1,late,1,148,04.07.23,7.35,4.81
O285,O,285,1,late,1,148,04.07.23,6.13,4.49
O286,O,286,1,late,1,150,04.07.23,4.59,4.54
O287,O,287,1,late,1,148,04.07.23,Na,4.79
O288,O,288,1,late,1,155,04.07.23,3.22,2.62
O289,O,289,1,late,1,148,04.07.23,4.02,3.58
O290,O,290,1,late,1,148,04.07.23,5.14,3.93
O291,O,291,1,late,1,148,04.07.23,Na,4.73
O292,O,292,1,late,1,148,04.07.23,5.54,4.44
O293,O,293,1,late,1,148,04.07.23,6.11,3.12
O294,O,294,1,late,1,148,04.07.23,5.3,2.66
O295,O,295,1,late,1,148,04.07.23,5.53,3.5
O296,O,296,1,late,1,148,04.07.23,4.58,4.8
O297,O,297,1,late,1,148,04.07.23,Na,5.26
O298,O,298,1,late,1,150,04.07.23,8.31,5.9
O299,O,299,1,late,1,148,04.07.23,Na,4.11
O300,O,300,1,late,1,148,04.07.23,4.25,2.48
O301,O,301,1,late,1,148,04.07.23,4.57,4.74
O302,O,302,1,late,1,148,04.07.23,4.79,3.63
O303,O,303,1,late,1,148,04.07.23,3.39,2.58
O304,O,304,1,late,1,148,04.07.23,6.08,2.58
O305,O,305,1,late,1,150,04.07.23,5.26,4.08
O306,O,306,1,late,1,148,04.07.23,5.69,5.12
P307,P,307,2,early,1,131,04.07.23,3.01,2.84
P308,P,308,2,early,1,125,04.07.23,5.75,3.18
P309,P,309,2,early,1,136,04.07.23,6.03,4.74
P310,P,310,2,early,1,125,04.07.23,6.05,4.15
P311,P,311,2,early,1,142,04.07.23,2.11,2.34
P312,P,312,2,early,1,125,04.07.23,5.57,4.6
P313,P,313,2,early,1,143,04.07.23,3.15,2.04
P314,P,314,2,early,1,131,04.07.23,4.39,3.87
P315,P,315,2,early,1,129,04.07.23,4.03,3.88
P316,P,316,2,early,1,125,04.07.23,4.94,4.58
P317,P,317,2,early,1,129,04.07.23,3.74,4.17
P318,P,318,2,early,1,131,04.07.23,5.13,4.26
P319,P,319,2,early,1,131,04.07.23,4.62,3.69
P320,P,320,2,early,1,129,04.07.23,4,3.84
P321,P,321,2,early,1,129,04.07.23,7.28,4.43
P322,P,322,2,early,1,129,04.07.23,4.41,4.22
P323,P,323,2,early,1,129,04.07.23,4.07,5.04
P324,P,324,2,early,1,129,04.07.23,5.8,4.76
P325,P,325,2,early,1,125,04.07.23,4.17,3.43
P326,P,326,2,early,1,131,04.07.23,3.55,3.4
P327,P,327,2,early,1,131,04.07.23,4.55,3.17
P328,P,328,2,early,1,125,04.07.23,3.36,4.11
P329,P,329,2,early,1,131,04.07.23,3.97,4.26
P330,P,330,2,early,1,129,04.07.23,2.76,5.14
P331,P,331,2,early,1,131,04.07.23,3.56,3.77
P332,P,332,2,early,1,131,04.07.23,4,3.34
P333,P,333,2,early,1,131,04.07.23,2.51,2.44
Q334,Q,334,2,late,1,148,04.07.23,5.55,4.6
Q335,Q,335,2,late,1,150,04.07.23,6.1,2.86
