id,group,number,cooling.level,lo.timing,treatment.timing,lo.doy,SPAD.23/06/2023,SPAD.20/07/2023,SPAD.22/08/2023,SPAD.07/09/2023,SPAD.20/09/2023,SPAD.05/10/2023,SPAD.12/10/2023,SPAD.19/10/2023,SPAD.26/10/2023,SPAD.02/11/2023,SPAD.10/11/2023,SPAD.17/11/2023,SPAD.23/11/2023,SPAD.30/11/2023,SPAD.07/12/2023,SPAD.14/12/2023
L199,L,199,3,early,3,131,28.8,28.3,27.2,25.8,25,24.2,23.8,22.4,21.5,20.7,17.4,10.2,0,0,0,0
L200,L,200,3,early,3,136,24.4,24.8,23.1,22.7,22.5,19.7,18.5,18,18,12.6,7.8,3.8,0,0,0,0
L201,L,201,3,early,3,136,25,26,23.6,23,24.7,20.4,20.9,18.3,19.9,18,14,8.4,0,0,0,0
L202,L,202,3,early,3,131,24.3,25.1,24.1,23.1,21.8,19.4,17.1,16.1,14.1,14.7,6.4,2.6,0,0,0,0
L203,L,203,3,early,3,131,32,30.5,32.8,32.4,30.2,27.6,29.4,27.1,29,20.9,19.3,7.4,7.6,0,0,0
L204,L,204,3,early,3,129,29.6,30.8,28.8,25.2,23.8,21.8,21.2,20.6,17.9,17.3,12,7.6,0,0,0,0
L205,L,205,3,early,3,131,28.5,31.2,30.2,30.6,30.3,29.1,24.9,27.3,26.6,27.3,24.1,18.9,9.5,5.1,0,0
L206,L,206,3,early,3,121,30.8,33.6,34,34.6,33.6,33,32.6,30.2,29,27.4,21.5,5.6,0,0,0,0
L207,L,207,3,early,3,142,26.7,27.3,26.2,25.8,25,21.5,20.3,21.5,21.1,18.8,13.3,11.9,3,0,0,0
L208,L,208,3,early,3,129,28.5,28.7,31.1,29.1,29,29.4,27.9,28.8,26.7,25.8,18.3,12.7,6.9,0,0,0
L209,L,209,3,early,3,137,27.9,28.8,26.3,26.2,25.5,22.4,18.2,19.3,17.6,17.9,15.5,6.3,12.6,0,0,0
L210,L,210,3,early,3,131,31.5,33.1,35.7,36,34.5,32.3,33.9,28.9,28.7,28.6,25.6,15.8,9,0,0,0
L211,L,211,3,early,3,131,29,29.8,28.6,28,25.4,24.2,22,18.4,19.1,19.2,9.9,4.9,7.2,0,0,0
L212,L,212,3,early,3,129,33.8,34.1,34.9,32.9,33.8,33.2,32,33.2,31.2,31,26.5,19.3,9,7.1,0,0
L213,L,213,3,early,3,129,30,31.3,33.1,35.4,34.6,34.7,34.2,32.3,32,29.9,26.6,13.7,8.2,0,0,0
L214,L,214,3,early,3,129,26.1,23.4,20.8,19,18.5,15.6,14.3,14.7,11.6,6.4,2.5,0,0,0,0,0
