Date-Time,temperature,light 
04/04/2023 20:00,10.59,0
04/04/2023 21:00,6.26,0
04/04/2023 22:00,3.99,0
04/04/2023 23:00,3.73,0
04/05/2023 00:00,3.39,0
04/05/2023 01:00,3.17,0
04/05/2023 02:00,3,0
04/05/2023 03:00,2.91,0
04/05/2023 04:00,2.83,0
04/05/2023 05:00,3.26,0
04/05/2023 06:00,5.06,0
04/05/2023 07:00,6.52,0
04/05/2023 08:00,9.39,4986.88
04/05/2023 09:00,9.26,4793.6
04/05/2023 10:00,9.74,4688.64
04/05/2023 11:00,9.95,4592.64
04/05/2023 12:00,9.82,4490.24
04/05/2023 13:00,9.86,4424.96
04/05/2023 14:00,10.16,4431.36
04/05/2023 15:00,10.12,4395.52
04/05/2023 16:00,10.04,4353.28
04/05/2023 17:00,9.99,4349.44
04/05/2023 18:00,10.16,4345.6
04/05/2023 19:00,10.08,4330.24
04/05/2023 20:00,9.09,954.88
04/05/2023 21:00,6.17,0
04/05/2023 22:00,3.56,0
04/05/2023 23:00,3.47,0
04/06/2023 00:00,3.09,0
04/06/2023 01:00,3.17,0
04/06/2023 02:00,3.04,0
04/06/2023 03:00,2.83,0
04/06/2023 04:00,2.87,0
04/06/2023 05:00,3.21,0
04/06/2023 06:00,5.06,0
04/06/2023 07:00,6.39,0
04/06/2023 08:00,9.26,4552.96
04/06/2023 09:00,9.61,4401.92
04/06/2023 10:00,9.74,4366.08
04/06/2023 11:00,9.95,4405.76
04/06/2023 12:00,9.91,4339.2
04/06/2023 13:00,9.91,4326.4
04/06/2023 14:00,9.99,4345.6
04/06/2023 15:00,9.91,4316.16
04/06/2023 16:00,10.16,4368.64
04/06/2023 17:00,10.21,4355.84
04/06/2023 18:00,10.08,4326.4
04/06/2023 19:00,10.16,4339.2
04/06/2023 20:00,10.25,4345.6
04/06/2023 21:00,10.12,4313.6
04/06/2023 22:00,10.12,4307.2
04/06/2023 23:00,10.21,4322.56
04/07/2023 00:00,10.21,4330.24
04/07/2023 01:00,10.08,4309.76
04/07/2023 02:00,10.21,4339.2
04/07/2023 03:00,10.46,4362.24
04/07/2023 04:00,10.12,4303.36
04/07/2023 05:00,10.16,4326.4
04/07/2023 06:00,10.51,4359.68
04/07/2023 07:00,10.29,4332.8
04/07/2023 08:00,9.31,1048.64
04/07/2023 09:00,6.52,0
04/07/2023 10:00,3.64,0
04/07/2023 11:00,3.47,0
04/07/2023 12:00,3.3,0
04/07/2023 13:00,3.04,0
04/07/2023 14:00,3,0
04/07/2023 15:00,2.91,0
04/07/2023 16:00,3.69,0
04/07/2023 17:00,6.52,0
04/07/2023 18:00,6.56,0
04/07/2023 19:00,7.63,1490.56
04/07/2023 20:00,9.52,4613.12
04/07/2023 21:00,10.04,4517.12
04/07/2023 22:00,9.86,4401.92
04/07/2023 23:00,10.16,4414.72
04/08/2023 00:00,10.16,4376.32
04/08/2023 01:00,10.16,4376.32
04/08/2023 02:00,10.38,4412.16
04/08/2023 03:00,10.29,4372.48
04/08/2023 04:00,10.34,4385.28
04/08/2023 05:00,10.46,4401.92
04/08/2023 06:00,10.38,4372.48
04/08/2023 07:00,10.21,4353.28
04/08/2023 08:00,9.44,1156.48
04/08/2023 09:00,6.69,0
04/08/2023 10:00,3.73,0
04/08/2023 11:00,3.47,0
04/08/2023 12:00,3.26,0
04/08/2023 13:00,3.13,0
04/08/2023 14:00,3.04,0
04/08/2023 15:00,4.42,0
04/08/2023 16:00,3.77,0
04/08/2023 17:00,6.56,0
04/08/2023 18:00,6.73,0
04/08/2023 19:00,7.72,1391.36
04/08/2023 20:00,10.34,4672
04/08/2023 21:00,9.91,4437.76
04/08/2023 22:00,9.91,4376.32
04/08/2023 23:00,10.21,4376.32
04/09/2023 00:00,9.91,4307.2
04/09/2023 01:00,10.21,4372.48
04/09/2023 02:00,10.16,4345.6
04/09/2023 03:00,10.16,4339.2
04/09/2023 04:00,10.42,4378.88
04/09/2023 05:00,10.34,4353.28
04/09/2023 06:00,10.08,4320
04/09/2023 07:00,10.21,4330.24
04/09/2023 08:00,9.48,1162.88
04/09/2023 09:00,6.73,0
04/09/2023 10:00,3.73,0
04/09/2023 11:00,3.47,0
04/09/2023 12:00,3.3,0
04/09/2023 13:00,3.09,0
04/09/2023 14:00,3,0
04/09/2023 15:00,2.87,0
04/09/2023 16:00,3.52,0
04/09/2023 17:00,6.39,0
04/09/2023 18:00,6.69,0
04/09/2023 19:00,7.5,1291.2
04/09/2023 20:00,9.95,4642.56
04/09/2023 21:00,9.78,4441.6
04/09/2023 22:00,10.16,4435.2
04/09/2023 23:00,10.12,4399.36
04/10/2023 00:00,10.29,4414.72
04/10/2023 01:00,10.25,4372.48
04/10/2023 02:00,10.08,4326.4
04/10/2023 03:00,10.38,4366.08
04/10/2023 04:00,10.29,4349.44
04/10/2023 05:00,10.34,4359.68
04/10/2023 06:00,10.42,4368.64
04/10/2023 07:00,10.38,4353.28
04/10/2023 08:00,9.18,1222.08
04/10/2023 09:00,6.78,0
04/10/2023 10:00,3.77,0
04/10/2023 11:00,3.56,0
04/10/2023 12:00,3.34,0
04/10/2023 13:00,3.13,0
04/10/2023 14:00,3.04,0
04/10/2023 15:00,2.87,0
04/10/2023 16:00,3.69,0
04/10/2023 17:00,6.13,0
04/10/2023 18:00,6.6,0
04/10/2023 19:00,7.59,1276.48
04/10/2023 20:00,10.16,4714.24
04/10/2023 21:00,10.08,4494.08
04/10/2023 22:00,10.04,4412.16
04/10/2023 23:00,10.12,4401.92
04/11/2023 00:00,10.29,4378.88
04/11/2023 01:00,10.25,4359.68
04/11/2023 02:00,10.21,4330.24
04/11/2023 03:00,10.16,4326.4
04/11/2023 04:00,10.29,4368.64
04/11/2023 05:00,10.42,4376.32
04/11/2023 06:00,10.29,4336.64
04/11/2023 07:00,10.21,4336.64
04/11/2023 08:00,9.44,1342.72
04/11/2023 09:00,6.65,0
04/11/2023 10:00,3.64,0
04/11/2023 11:00,3.52,0
04/11/2023 12:00,3.21,0
04/11/2023 13:00,3.04,0
04/11/2023 14:00,3,0
04/11/2023 15:00,2.91,0
04/11/2023 16:00,3.64,0
04/11/2023 17:00,6.48,0
04/11/2023 18:00,6.73,0
04/11/2023 19:00,7.81,1181.76
04/11/2023 20:00,9.48,4605.44
04/11/2023 21:00,9.91,4487.68
04/11/2023 22:00,10.08,4437.76
04/11/2023 23:00,10.16,4412.16
04/12/2023 00:00,10.08,4372.48
04/12/2023 01:00,10.34,4408.32
04/12/2023 02:00,10.38,4399.36
04/12/2023 03:00,10.21,4372.48
04/12/2023 04:00,10.16,4359.68
04/12/2023 05:00,10.42,4401.92
04/12/2023 06:00,10.59,4428.8
04/12/2023 07:00,10.46,4399.36
04/12/2023 08:00,9.18,1332.48
04/12/2023 09:00,6.82,0
04/12/2023 10:00,3.77,0
04/12/2023 11:00,3.39,0
04/12/2023 12:00,3.39,0
04/12/2023 13:00,3.09,0
04/12/2023 14:00,2.87,0
04/12/2023 15:00,4.07,242.64
04/12/2023 16:00,4.16,240.16
04/12/2023 17:00,4.76,239.36
04/12/2023 18:00,5.23,0
04/12/2023 19:00,5.75,0
04/12/2023 20:00,6.35,0
04/12/2023 21:00,6.86,0
04/12/2023 22:00,6.3,0
04/12/2023 23:00,5.79,0
04/13/2023 00:00:00,4.93,0
04/13/2023 01:00:00,4.29,0
04/13/2023 02:00:00,3.6,0
04/13/2023 03:00:00,3.34,0
04/13/2023 04:00:00,6.6,0
04/13/2023 05:00:00,6.65,0
04/13/2023 06:00:00,6.82,0
04/13/2023 07:00:00,6.86,0
04/13/2023 08:00:00,6.95,0
04/13/2023 09:00:00,6.86,0
04/13/2023 10:00:00,7.03,0
04/13/2023 11:00:00,7.08,0
04/13/2023 12:00:00,7.16,0
04/13/2023 13:00:00,9.22,5020.16
04/13/2023 14:00:00,10.08,4540.16
04/13/2023 15:00:00,9.95,4401.92
04/13/2023 16:00:00,10.34,4460.8
04/13/2023 17:00:00,10.29,4405.76
04/13/2023 18:00:00,10.16,4368.64
04/13/2023 19:00:00,9.91,2353.92
04/13/2023 20:00:00,7.42,0
04/13/2023 21:00:00,3.82,0
04/13/2023 22:00:00,3.47,0
04/13/2023 23:00:00,3.21,0
04/14/2023 00:00:00,3.04,0
04/14/2023 01:00:00,3.39,0
04/14/2023 02:00:00,3.99,0
04/14/2023 03:00:00,3.26,0
04/14/2023 04:00:00,6.56,0
04/14/2023 05:00:00,6.65,0
04/14/2023 06:00:00,7.25,357.76
04/14/2023 07:00:00,10.25,4825.6
04/14/2023 08:00:00,9.91,4497.92
04/14/2023 09:00:00,9.95,4414.72
04/14/2023 10:00:00,10.08,4408.32
04/14/2023 11:00:00,10.38,4422.4
04/14/2023 12:00:00,10.25,4385.28
04/14/2023 13:00:00,10.21,4376.32
04/14/2023 14:00:00,10.25,4385.28
04/14/2023 15:00:00,10.55,4431.36
04/14/2023 16:00:00,10.55,4431.36
04/14/2023 17:00:00,10.38,4382.72
04/14/2023 18:00:00,10.29,4353.28
04/14/2023 19:00:00,9.74,2370.56
04/14/2023 20:00:00,7.76,0
04/14/2023 21:00:00,3.9,0
04/14/2023 22:00:00,3.39,0
04/14/2023 23:00:00,3.3,0
04/15/2023 00:00:00,3.04,0
04/15/2023 01:00:00,3.09,0
04/15/2023 02:00:00,2.83,0
04/15/2023 03:00:00,3.09,0
04/15/2023 04:00:00,6.52,0
04/15/2023 05:00:00,6.56,0
04/15/2023 06:00:00,7.08,302.24
04/15/2023 07:00:00,9.61,4753.92
04/15/2023 08:00:00,9.95,4510.72
04/15/2023 09:00:00,10.04,4431.36
04/15/2023 10:00:00,9.99,4385.28
04/15/2023 11:00:00,10.12,4385.28
04/15/2023 12:00:00,10.42,4437.76
04/15/2023 13:00:00,10.55,4435.2
04/15/2023 14:00:00,10.42,4385.28
04/15/2023 15:00:00,10.29,4353.28
04/15/2023 16:00:00,10.25,4336.64
04/15/2023 17:00:00,10.29,4366.08
04/15/2023 18:00:00,10.51,4391.68
04/15/2023 19:00:00,10.04,2426.24
04/15/2023 20:00:00,7.68,0
04/15/2023 21:00:00,4.03,0
04/15/2023 22:00:00,3.52,0
04/15/2023 23:00:00,3.34,0
04/16/2023 00:00:00,3.09,0
04/16/2023 01:00:00,3.13,0
04/16/2023 02:00:00,4.03,0
04/16/2023 03:00:00,3,0
04/16/2023 04:00:00,6.69,0
04/16/2023 05:00:00,6.69,0
04/16/2023 06:00:00,7.25,256
04/16/2023 07:00:00,9.52,4724.48
04/16/2023 08:00:00,9.61,4445.44
04/16/2023 09:00:00,10.12,4435.2
04/16/2023 10:00:00,10.08,4372.48
04/16/2023 11:00:00,9.99,4330.24
04/16/2023 12:00:00,10.21,4362.24
04/16/2023 13:00:00,10.08,4322.56
04/16/2023 14:00:00,10.16,4332.8
04/16/2023 15:00:00,10.42,4378.88
04/16/2023 16:00:00,10.38,4353.28
04/16/2023 17:00:00,10.25,4336.64
04/16/2023 18:00:00,10.29,4353.28
04/16/2023 19:00:00,9.99,2512
04/16/2023 20:00:00,7.63,0
04/16/2023 21:00:00,3.99,0
04/16/2023 22:00:00,3.56,0
04/16/2023 23:00:00,3.34,0
04/17/2023 00:00:00,3.17,0
04/17/2023 01:00:00,2.96,0
04/17/2023 02:00:00,3.99,0
04/17/2023 03:00:00,2.91,0
04/17/2023 04:00:00,6.65,0
04/17/2023 05:00:00,6.78,0
04/17/2023 06:00:00,7.16,246.96
04/17/2023 07:00:00,9.48,4718.08
04/17/2023 08:00:00,9.82,4474.88
04/17/2023 09:00:00,10.16,4435.2
04/17/2023 10:00:00,9.99,4332.8
04/17/2023 11:00:00,10.12,4359.68
04/17/2023 12:00:00,10.12,4345.6
04/17/2023 13:00:00,10.04,4330.24
04/17/2023 14:00:00,10.25,4362.24
04/17/2023 15:00:00,10.29,4355.84
04/17/2023 16:00:00,10.12,4303.36
04/17/2023 17:00:00,10.34,4349.44
04/17/2023 18:00:00,10.55,4376.32
04/17/2023 19:00:00,9.86,2595.84
04/17/2023 20:00:00,7.68,0
04/17/2023 21:00:00,3.99,0
04/17/2023 22:00:00,3.47,0
04/17/2023 23:00:00,3.21,0
04/18/2023 00:00:00,3.13,0
04/18/2023 01:00:00,3,0
04/18/2023 02:00:00,3,0
04/18/2023 03:00:00,4.07,0
04/18/2023 04:00:00,6.39,0
04/18/2023 05:00:00,6.78,0
04/18/2023 06:00:00,7.16,206.48
04/18/2023 07:00:00,9.52,4724.48
04/18/2023 08:00:00,9.78,4458.24
04/18/2023 09:00:00,10.08,4428.8
04/18/2023 10:00:00,9.99,4345.6
04/18/2023 11:00:00,10.21,4389.12
04/18/2023 12:00:00,10.21,4349.44
04/18/2023 13:00:00,10.08,4332.8
04/18/2023 14:00:00,10.34,4382.72
04/18/2023 15:00:00,10.25,4336.64
04/18/2023 16:00:00,10.08,4307.2
04/18/2023 17:00:00,10.38,4355.84
04/18/2023 18:00:00,10.42,4366.08
04/18/2023 19:00:00,9.82,2595.84
04/18/2023 20:00:00,7.76,0
04/18/2023 21:00:00,3.99,0
04/18/2023 22:00:00,3.47,0
04/18/2023 23:00:00,3.3,0
04/19/2023 00:00:00,3.09,0
04/19/2023 01:00:00,3,0
04/19/2023 02:00:00,2.96,0
04/19/2023 03:00:00,4.2,0
