Date-Time,temperature,light
04/04/2023 20:00,11.15,0
04/04/2023 21:00,6.52,0
04/04/2023 22:00,4.2,0
04/04/2023 23:00,3.52,0
04/05/2023 00:00,3.34,0
04/05/2023 01:00,3.17,0
04/05/2023 02:00,3,0
04/05/2023 03:00,3.04,0
04/05/2023 04:00,2.96,0
04/05/2023 05:00,3.34,0
04/05/2023 06:00,5.4,0
04/05/2023 07:00,6.82,0
04/05/2023 08:00,8.53,5121.28
04/05/2023 09:00,9.26,5079.04
04/05/2023 10:00,9.56,4951.04
04/05/2023 11:00,9.61,4803.84
04/05/2023 12:00,9.65,4704
04/05/2023 13:00,9.78,4651.52
04/05/2023 14:00,9.69,4529.92
04/05/2023 15:00,9.86,4481.28
04/05/2023 16:00,9.82,4459.52
04/05/2023 17:00,9.91,4473.6
04/05/2023 18:00,9.74,4439.04
04/05/2023 19:00,9.95,4428.8
04/05/2023 20:00,9.69,1005.44
04/05/2023 21:00,5.27,0
04/05/2023 22:00,3.6,0
04/05/2023 23:00,3.34,0
04/06/2023 00:00,3.17,0
04/06/2023 01:00,3.09,0
04/06/2023 02:00,2.96,0
04/06/2023 03:00,2.96,0
04/06/2023 04:00,2.91,0
04/06/2023 05:00,3.21,0
04/06/2023 06:00,5.32,0
04/06/2023 07:00,6.69,0
04/06/2023 08:00,8.32,4560.64
04/06/2023 09:00,9.18,4366.08
04/06/2023 10:00,9.39,4345.6
04/06/2023 11:00,9.39,4317.44
04/06/2023 12:00,9.56,4321.28
04/06/2023 13:00,9.69,4348.16
04/06/2023 14:00,9.52,4309.76
04/06/2023 15:00,9.61,4296.96
04/06/2023 16:00,9.69,4323.84
04/06/2023 17:00,9.74,4321.28
04/06/2023 18:00,9.74,4307.2
04/06/2023 19:00,9.82,4348.16
04/06/2023 20:00,10.25,4442.88
04/06/2023 21:00,9.82,4321.28
04/06/2023 22:00,9.65,4285.44
04/06/2023 23:00,9.69,4285.44
04/07/2023 00:00,9.74,4279.04
04/07/2023 01:00,9.82,4309.76
04/07/2023 02:00,9.82,4296.96
04/07/2023 03:00,9.82,4313.6
04/07/2023 04:00,9.65,4261.12
04/07/2023 05:00,9.86,4307.2
04/07/2023 06:00,9.91,4296.96
04/07/2023 07:00,9.86,4268.8
04/07/2023 08:00,9.18,1044.48
04/07/2023 09:00,6.22,0
04/07/2023 10:00,3.56,0
04/07/2023 11:00,3.3,0
04/07/2023 12:00,3.26,0
04/07/2023 13:00,3.09,0
04/07/2023 14:00,2.96,0
04/07/2023 15:00,2.96,0
04/07/2023 16:00,3.69,0
04/07/2023 17:00,6.99,0
04/07/2023 18:00,6.73,0
04/07/2023 19:00,7.38,1432.32
04/07/2023 20:00,9.05,4546.56
04/07/2023 21:00,9.31,4369.92
04/07/2023 22:00,9.52,4341.76
04/07/2023 23:00,9.56,4293.12
04/08/2023 00:00,9.69,4334.08
04/08/2023 01:00,9.56,4264.96
04/08/2023 02:00,9.69,4289.28
04/08/2023 03:00,9.78,4323.84
04/08/2023 04:00,9.65,4261.12
04/08/2023 05:00,9.56,4279.04
04/08/2023 06:00,9.82,4275.2
04/08/2023 07:00,9.86,4293.12
04/08/2023 08:00,8.83,1099.2
04/08/2023 09:00,6.26,0
04/08/2023 10:00,3.6,0
04/08/2023 11:00,3.39,0
04/08/2023 12:00,3.21,0
04/08/2023 13:00,3.04,0
04/08/2023 14:00,2.96,0
04/08/2023 15:00,2.91,0
04/08/2023 16:00,3.52,0
04/08/2023 17:00,6.95,0
04/08/2023 18:00,6.82,0
04/08/2023 19:00,7.29,1335.04
04/08/2023 20:00,9.09,4728.32
04/08/2023 21:00,9.26,4372.48
04/08/2023 22:00,9.35,4282.88
04/08/2023 23:00,9.56,4293.12
04/09/2023 00:00,9.48,4248.32
04/09/2023 01:00,9.65,4296.96
04/09/2023 02:00,9.56,4258.56
04/09/2023 03:00,9.74,4296.96
04/09/2023 04:00,9.61,4264.96
04/09/2023 05:00,9.69,4279.04
04/09/2023 06:00,9.69,4293.12
04/09/2023 07:00,9.74,4258.56
04/09/2023 08:00,9.18,1105.28
04/09/2023 09:00,6.09,0
04/09/2023 10:00,3.47,0
04/09/2023 11:00,3.34,0
04/09/2023 12:00,3.21,0
04/09/2023 13:00,3.09,0
04/09/2023 14:00,3.04,0
04/09/2023 15:00,2.96,0
04/09/2023 16:00,3.52,0
04/09/2023 17:00,6.95,0
04/09/2023 18:00,6.82,0
04/09/2023 19:00,6.86,1208.96
04/09/2023 20:00,9.22,4532.48
04/09/2023 21:00,9.26,4355.84
04/09/2023 22:00,9.31,4293.12
04/09/2023 23:00,9.52,4279.04
04/10/2023 00:00,9.48,4264.96
04/10/2023 01:00,9.56,4254.72
04/10/2023 02:00,9.74,4285.44
04/10/2023 03:00,9.65,4254.72
04/10/2023 04:00,9.61,4275.2
04/10/2023 05:00,9.61,4248.32
04/10/2023 06:00,9.74,4261.12
04/10/2023 07:00,9.78,4254.72
04/10/2023 08:00,9.09,1194.88
04/10/2023 09:00,6.22,0
04/10/2023 10:00,3.47,0
04/10/2023 11:00,3.39,0
04/10/2023 12:00,3.21,0
04/10/2023 13:00,3.09,0
04/10/2023 14:00,2.96,0
04/10/2023 15:00,2.91,0
04/10/2023 16:00,3.52,0
04/10/2023 17:00,6.86,0
04/10/2023 18:00,6.82,0
04/10/2023 19:00,7.16,1193.28
04/10/2023 20:00,9.26,4661.76
04/10/2023 21:00,9.31,4376.32
04/10/2023 22:00,9.44,4303.36
04/10/2023 23:00,9.61,4317.44
04/11/2023 00:00,9.52,4293.12
04/11/2023 01:00,9.61,4303.36
04/11/2023 02:00,9.65,4289.28
04/11/2023 03:00,9.65,4272.64
04/11/2023 04:00,9.69,4268.8
04/11/2023 05:00,9.78,4261.12
04/11/2023 06:00,9.86,4299.52
04/11/2023 07:00,9.74,4254.72
04/11/2023 08:00,9.26,1288.96
04/11/2023 09:00,6.52,0
04/11/2023 10:00,3.47,0
04/11/2023 11:00,3.39,0
04/11/2023 12:00,3.21,0
04/11/2023 13:00,3.17,0
04/11/2023 14:00,3.09,0
04/11/2023 15:00,2.87,0
04/11/2023 16:00,3.52,0
04/11/2023 17:00,7.12,0
04/11/2023 18:00,6.82,0
04/11/2023 19:00,7.2,1124.48
04/11/2023 20:00,9.48,4689.92
04/11/2023 21:00,9.52,4508.16
04/11/2023 22:00,9.35,4400.64
04/11/2023 23:00,9.56,4376.32
04/12/2023 00:00,9.69,4414.72
04/12/2023 01:00,9.65,4386.56
04/12/2023 02:00,9.86,4410.88
04/12/2023 03:00,9.86,4424.96
04/12/2023 04:00,9.74,4376.32
04/12/2023 05:00,9.82,4408.32
04/12/2023 06:00,9.82,4410.88
04/12/2023 07:00,9.91,4408.32
04/12/2023 08:00,9.48,1352.32
04/12/2023 09:00,6.43,0
04/12/2023 10:00,3.47,0
04/12/2023 11:00,3.26,0
04/12/2023 12:00,3.21,0
04/12/2023 13:00,2.96,0
04/12/2023 14:00,2.66,0
04/12/2023 15:00,3.64,228.08
04/12/2023 16:00,4.16,223.76
04/12/2023 17:00,4.76,223.76
04/12/2023 18:00,5.23,0
04/12/2023 19:00,5.87,0
04/12/2023 20:00,6.39,0
04/12/2023 21:00,6.95,0
04/12/2023 22:00,6.39,0
04/12/2023 23:00,5.7,0
04/13/2023 00:00:00,5.02,0
04/13/2023 01:00:00,4.33,0
04/13/2023 02:00:00,3.6,0
04/13/2023 03:00:00,3.26,0
04/13/2023 04:00:00,6.99,0
04/13/2023 05:00:00,6.82,0
04/13/2023 06:00:00,6.99,0
04/13/2023 07:00:00,6.99,0
04/13/2023 08:00:00,7.2,0
04/13/2023 09:00:00,7.16,0
04/13/2023 10:00:00,7.2,0
04/13/2023 11:00:00,7.08,0
04/13/2023 12:00:00,7.25,0
04/13/2023 13:00:00,9.26,5131.52
04/13/2023 14:00:00,9.44,4483.84
04/13/2023 15:00:00,9.74,4453.12
04/13/2023 16:00:00,9.52,4376.32
04/13/2023 17:00:00,9.74,4394.24
04/13/2023 18:00:00,9.78,4359.68
04/13/2023 19:00:00,9.52,2289.28
04/13/2023 20:00:00,7.12,0
04/13/2023 21:00:00,3.86,0
04/13/2023 22:00:00,3.39,0
04/13/2023 23:00:00,3,0
04/14/2023 00:00:00,3.09,0
04/14/2023 01:00:00,2.96,0
04/14/2023 02:00:00,2.96,0
04/14/2023 03:00:00,3.09,0
04/14/2023 04:00:00,6.73,0
04/14/2023 05:00:00,6.78,0
04/14/2023 06:00:00,6.86,277.04
04/14/2023 07:00:00,8.88,4773.12
04/14/2023 08:00:00,9.26,4459.52
04/14/2023 09:00:00,9.35,4408.32
04/14/2023 10:00:00,9.52,4376.32
04/14/2023 11:00:00,9.61,4366.08
04/14/2023 12:00:00,9.61,4369.92
04/14/2023 13:00:00,9.65,4376.32
04/14/2023 14:00:00,9.78,4341.76
04/14/2023 15:00:00,9.82,4376.32
04/14/2023 16:00:00,9.91,4386.56
04/14/2023 17:00:00,9.78,4372.48
04/14/2023 18:00:00,9.78,4359.68
04/14/2023 19:00:00,9.44,2344.96
04/14/2023 20:00:00,7.03,0
04/14/2023 21:00:00,3.86,0
04/14/2023 22:00:00,3.43,0
04/14/2023 23:00:00,3.26,0
04/15/2023 00:00:00,3.04,0
04/15/2023 01:00:00,3.09,0
04/15/2023 02:00:00,2.91,0
04/15/2023 03:00:00,3.04,0
04/15/2023 04:00:00,6.95,0
04/15/2023 05:00:00,6.78,0
04/15/2023 06:00:00,6.65,264.16
04/15/2023 07:00:00,9.01,4651.52
