id,group,number,cooling.level,lo.timing,treatment.timing,27.06.2023,07.07.2023,22.07.2023,04.08.2023,16.08.2023,01.09.2023,12.10.2023,23.10.2023
L199,L,199,3,early,3,,,,,43.2,,,
L200,L,200,3,early,3,,,,,,,,
L201,L,201,3,early,3,31.4,,,,,,,
L202,L,202,3,early,3,,,35.6,47.2,,,33.5,
L203,L,203,3,early,3,,,,,,34.9,,
L204,L,204,3,early,3,,,,,,,,
L205,L,205,3,early,3,,,,,,,,
L206,L,206,3,early,3,,,,,,,,29.7
L207,L,207,3,early,3,39.7,,33.6,,,,,40.6
L208,L,208,3,early,3,,39.6,,43.7,39.9,,16.6,
L209,L,209,3,early,3,,,,,,33.7,,
L210,L,210,3,early,3,,,,,,,,
L211,L,211,3,early,3,,,,,,,,
L212,L,212,3,early,3,,,,,38.5,35.3,,
L213,L,213,3,early,3,14.7,,,30,,,16.6,11.9
L214,L,214,3,early,3,,37.9,31.6,,,,,
L215,L,215,3,early,3,,,,,,,,
L216,L,216,3,early,3,,,,43.1,,39.9,,37.2
L217,L,217,3,early,3,,45.8,,,,,34.9,
L218,L,218,3,early,3,,,40.8,,,,,
L219,L,219,3,early,3,41.1,,,,47.6,,,
L220,L,220,3,early,3,,43.8,,,,,42.8,
L221,L,221,3,early,3,37.6,,,,,,,
L222,L,222,3,early,3,,,,,,33.2,,
L223,L,223,3,early,3,,,17.6,,46.4,,,30.4
L224,L,224,3,early,3,,,,34.9,,,,
L225,L,225,3,early,3,,,,,,,,
M226,M,226,3,late,3,,,37.4,,,,,36.2
M227,M,227,3,late,3,,,,43.8,,38.3,16.2,
M228,M,228,3,late,3,34.3,35.7,,,43.3,,,
M229,M,229,3,late,3,,,,,,,,
M230,M,230,3,late,3,,,26.6,,,,,
M231,M,231,3,late,3,30.4,32.7,,,39.8,,,
M232,M,232,3,late,3,,,,,,,,
M233,M,233,3,late,3,,,,,,,,
M234,M,234,3,late,3,,,,37.1,,,,16.3
M235,M,235,3,late,3,,,,,,,,
M236,M,236,3,late,3,,,,,,,,
M237,M,237,3,late,3,,,23.6,44.9,,,,24.5
M238,M,238,3,late,3,,,,,,,,
M239,M,239,3,late,3,36.7,,,45.6,49.4,37.4,26.7,33.1
M240,M,240,3,late,3,,,,,,32.6,,
M241,M,241,3,late,3,,,32.6,,48.4,,,
M242,M,242,3,late,3,,,,,,,,
M243,M,243,3,late,3,,40.1,,,,38,20.5,
M244,M,244,3,late,3,21.8,,,,,,,25.8
M245,M,245,3,late,3,,,,34.4,,,,
M246,M,246,3,late,3,,42.3,33.8,,,,,
M247,M,247,3,late,3,,,,,,,,
M248,M,248,3,late,3,,,,,,35.4,22.4,
M249,M,249,3,late,3,,,,,,,,
M250,M,250,3,late,3,,,,,,,,
M251,M,251,3,late,3,40.4,,,,48.1,,20.1,
N253,N,253,1,early,1,,,,,49.8,,,
N254,N,254,1,early,1,,,,,,,,15.6
N255,N,255,1,early,1,,,25.6,,,,18.9,
N256,N,256,1,early,1,,,,,,37.6,,
N257,N,257,1,early,1,32.3,31.2,,,,,,
N258,N,258,1,early,1,,,,,,,,
N259,N,259,1,early,1,,,,,,,,
N260,N,260,1,early,1,,,34.8,,,,22.2,20.5
N261,N,261,1,early,1,,,,46.9,,40.7,21,37.8
N262,N,262,1,early,1,,,,,,,,
N263,N,263,1,early,1,,,39,,,,,
N264,N,264,1,early,1,35.8,,,,42.4,34,19.9,31.9
N265,N,265,1,early,1,,,34.5,,,,,
N266,N,266,1,early,1,,24.5,,,40.8,31,,
N267,N,267,1,early,1,34.1,,,,49.8,,,
N268,N,268,1,early,1,,,,,,,,
N269,N,269,1,early,1,,46.9,,,,,,
N270,N,270,1,early,1,,,,,,,,
N271,N,271,1,early,1,,,,,,,,
N272,N,272,1,early,1,33.4,,,43.9,,,,
N273,N,273,1,early,1,37.5,,39.8,,,,,
N274,N,274,1,early,1,,,,,,,,25
N275,N,275,1,early,1,,,,35.8,33.1,,,
N276,N,276,1,early,1,,45.6,,,,,,
N277,N,277,1,early,1,,,,41.3,,31.3,25.6,
N278,N,278,1,early,1,,,,37.9,,,,
