id,number,group,measurement.date,SPAD
D55,55,D,28.06.2022,30.2
D56,56,D,28.06.2022,32
D57,57,D,28.06.2022,37.5
D58,58,D,28.06.2022,35.7
D59,59,D,28.06.2022,32.5
D60,60,D,28.06.2022,29.9
D61,61,D,28.06.2022,33.5
D62,62,D,28.06.2022,28.4
D63,63,D,28.06.2022,32
D64,64,D,28.06.2022,30.7
D65,65,D,28.06.2022,34.9
D66,66,D,28.06.2022,34.6
D67,67,D,28.06.2022,36
D68,68,D,28.06.2022,34
D69,69,D,28.06.2022,38.6
D70,70,D,28.06.2022,33.5
D71,71,D,28.06.2022,27.1
D72,72,D,28.06.2022,35.7
E73,73,E,28.06.2022,30.9
E74,74,E,28.06.2022,33.7
E75,75,E,28.06.2022,32.2
E76,76,E,28.06.2022,30.2
E77,77,E,28.06.2022,33.9
E78,78,E,28.06.2022,36.3
E79,79,E,28.06.2022,37
E80,80,E,28.06.2022,29.7
E81,81,E,28.06.2022,34.6
E82,82,E,28.06.2022,33.2
E83,83,E,28.06.2022,33.9
E84,84,E,28.06.2022,38.4
E85,85,E,28.06.2022,34.4
E86,86,E,28.06.2022,30.8
E87,87,E,28.06.2022,38.7
E88,88,E,28.06.2022,36.1
E89,89,E,28.06.2022,35.5
E90,90,E,28.06.2022,31.2
F91,91,F,28.06.2022,32.1
F93,92,F,28.06.2022,33.3
F93,93,F,28.06.2022,35.4
F94,94,F,28.06.2022,25.1
F95,95,F,28.06.2022,27.4
F96,96,F,28.06.2022,41.1
F97,97,F,28.06.2022,31.3
F98,98,F,28.06.2022,37.3
F99,99,F,28.06.2022,33.6
F100,100,F,28.06.2022,32.9
F101,101,F,28.06.2022,30.6
F102,102,F,28.06.2022,32.2
F103,103,F,28.06.2022,34.4
F104,104,F,28.06.2022,32.9
F105,105,F,28.06.2022,25.9
F106,106,F,28.06.2022,27.2
F107,107,F,28.06.2022,35.6
F108,108,F,28.06.2022,30.3
G109,109,G,28.06.2022,33
G110,110,G,28.06.2022,29
G111,111,G,28.06.2022,30
G112,112,G,28.06.2022,32.3
G113,113,G,28.06.2022,36.4
G114,114,G,28.06.2022,39.3
G115,115,G,28.06.2022,34.5
G116,116,G,28.06.2022,32.8
G117,117,G,28.06.2022,32.8
G118,118,G,28.06.2022,30
G119,119,G,28.06.2022,30
G120,120,G,28.06.2022,35.9
G121,121,G,28.06.2022,30.7
G122,122,G,28.06.2022,28.9
G123,123,G,28.06.2022,35.2
G124,124,G,28.06.2022,34.5
G125,125,G,28.06.2022,35.2
G126,126,G,28.06.2022,33.8
H127,127,H,28.06.2022,35.6
H128,128,H,28.06.2022,30.2
H129,129,H,28.06.2022,32.4
H130,130,H,28.06.2022,29.6
H131,131,H,28.06.2022,38.1
H132,132,H,28.06.2022,31.4
H133,133,H,28.06.2022,33.3
H134,134,H,28.06.2022,27.9
H135,135,H,28.06.2022,32.2
H136,136,H,28.06.2022,35.2
H137,137,H,28.06.2022,36.1
H138,138,H,28.06.2022,35.3
H139,139,H,28.06.2022,29.6
H140,140,H,28.06.2022,32.8
H141,141,H,28.06.2022,31.3
H142,142,H,28.06.2022,31.7
H143,143,H,28.06.2022,38.1
H144,144,H,28.06.2022,31.7
I145,145,I,28.06.2022,30.9
I146,146,I,28.06.2022,32.5
I147,147,I,28.06.2022,35.6
I148,148,I,28.06.2022,29.5
I149,149,I,28.06.2022,31.8
I150,150,I,28.06.2022,37.2
I151,151,I,28.06.2022,32.4
I152,152,I,28.06.2022,35.9
I153,153,I,28.06.2022,33.9
I154,154,I,28.06.2022,31.7
I155,155,I,28.06.2022,30.6
I156,156,I,28.06.2022,30.9
I157,157,I,28.06.2022,33.7
I158,158,I,28.06.2022,29.6
I159,159,I,28.06.2022,33.9
I160,160,I,28.06.2022,32.3
I161,161,I,28.06.2022,29.5
I162,162,I,28.06.2022,31.9
A01,1,A,28.06.2022,38.9
A02,2,A,28.06.2022,35.8
A03,3,A,28.06.2022,40.4
A04,4,A,28.06.2022,34.1
A05,5,A,28.06.2022,33.7
A06,6,A,28.06.2022,33
A07,7,A,28.06.2022,30.3
A08,8,A,28.06.2022,35.2
A09,9,A,28.06.2022,25.6
A10,10,A,28.06.2022,33.4
A11,11,A,28.06.2022,33.2
A12,12,A,28.06.2022,33.8
A13,13,A,28.06.2022,35.6
A14,14,A,28.06.2022,32
A15,15,A,28.06.2022,31.1
A16,16,A,28.06.2022,36.5
A17,17,A,28.06.2022,33.5
A18,18,A,28.06.2022,31
B19,19,B,28.06.2022,35.7
B20,20,B,28.06.2022,30
B21,21,B,28.06.2022,34.3
B22,22,B,28.06.2022,21.5
B23,23,B,28.06.2022,34
B24,24,B,28.06.2022,29.5
B25,25,B,28.06.2022,27
B26,26,B,28.06.2022,37.9
B27,27,B,28.06.2022,27.8
B28,28,B,28.06.2022,36.3
B29,29,B,28.06.2022,34.8
B30,30,B,28.06.2022,29
B31,31,B,28.06.2022,31.4
B32,32,B,28.06.2022,29.1
B33,33,B,28.06.2022,31.2
B34,34,B,28.06.2022,30.5
B35,35,B,28.06.2022,37.1
B36,36,B,28.06.2022,28.3
C37,37,C,28.06.2022,32.4
C38,38,C,28.06.2022,35.6
C39,39,C,28.06.2022,25.9
C40,40,C,28.06.2022,34.7
C41,41,C,28.06.2022,36.6
C42,42,C,28.06.2022,34.9
C43,43,C,28.06.2022,31.9
C44,44,C,28.06.2022,33.6
C45,45,C,28.06.2022,29
C46,46,C,28.06.2022,32.6
C47,47,C,28.06.2022,34
C48,48,C,28.06.2022,37.7
C49,49,C,28.06.2022,35.2
C50,50,C,28.06.2022,35.6
C51,51,C,28.06.2022,36.4
C52,52,C,28.06.2022,33.2
C53,53,C,28.06.2022,39.1
C54,54,C,28.06.2022,34.8
J163,163,J,28.06.2022,33
J164,164,J,28.06.2022,28.7
J165,165,J,28.06.2022,35.8
J166,166,J,28.06.2022,35.1
J167,167,J,28.06.2022,25.6
J168,168,J,28.06.2022,31.9
J169,169,J,28.06.2022,35.6
J170,170,J,28.06.2022,32.3
J171,171,J,28.06.2022,36.2
J172,172,J,28.06.2022,32.5
J173,173,J,28.06.2022,38.2
J174,174,J,28.06.2022,37.5
J175,175,J,28.06.2022,29.5
J176,176,J,28.06.2022,33.6
J177,177,J,28.06.2022,34.1
J178,178,J,28.06.2022,29.3
J179,179,J,28.06.2022,30.2
J180,180,J,28.06.2022,36.9
K181,181,K,28.06.2022,35.2
K182,182,K,28.06.2022,40.1
K183,183,K,28.06.2022,32.2
K184,184,K,28.06.2022,27.4
K185,185,K,28.06.2022,30
K186,186,K,28.06.2022,31.5
K187,187,K,28.06.2022,30.6
K188,188,K,28.06.2022,33.4
K189,189,K,28.06.2022,32.6
K190,190,K,28.06.2022,34.9
K191,191,K,28.06.2022,31.4
K192,192,K,28.06.2022,36
K193,193,K,28.06.2022,31.2
K194,194,K,28.06.2022,32.1
K195,195,K,28.06.2022,35.9
K196,196,K,28.06.2022,34.4
K197,197,K,28.06.2022,32.5
K198,198,K,28.06.2022,32.7
H127,127,H,07.08.2022,38.3
H128,128,H,07.08.2022,35
H129,129,H,07.08.2022,32.8
H130,130,H,07.08.2022,32
H131,131,H,07.08.2022,41.5
H132,132,H,07.08.2022,33.6
H133,133,H,07.08.2022,34.2
H134,134,H,07.08.2022,31.8
H135,135,H,07.08.2022,33.5
H136,136,H,07.08.2022,36.9
H137,137,H,07.08.2022,38.1
H138,138,H,07.08.2022,34.1
H139,139,H,07.08.2022,31.2
H140,140,H,07.08.2022,33.3
H141,141,H,07.08.2022,36.2
H142,142,H,07.08.2022,34.9
H143,143,H,07.08.2022,41.1
H144,144,H,07.08.2022,34.8
I145,145,I,07.08.2022,32.1
I146,146,I,07.08.2022,32.2
I147,147,I,07.08.2022,35.2
I148,148,I,07.08.2022,28.8
I149,149,I,07.08.2022,34.2
I150,150,I,07.08.2022,37.5
I151,151,I,07.08.2022,30.6
I152,152,I,07.08.2022,33.5
I153,153,I,07.08.2022,34.3
I154,154,I,07.08.2022,31
I155,155,I,07.08.2022,29.4
I156,156,I,07.08.2022,31.3
I157,157,I,07.08.2022,38.1
I158,158,I,07.08.2022,28
I159,159,I,07.08.2022,35.8
I160,160,I,07.08.2022,32.7
I161,161,I,07.08.2022,30.8
I162,162,I,07.08.2022,34.6
J163,163,J,07.08.2022,33.6
J164,164,J,07.08.2022,31
J165,165,J,07.08.2022,34.9
J166,166,J,07.08.2022,34.2
J167,167,J,07.08.2022,29.2
J168,168,J,07.08.2022,31.8
J169,169,J,07.08.2022,37.1
J170,170,J,07.08.2022,34.9
J171,171,J,07.08.2022,35.7
J172,172,J,07.08.2022,31.2
J173,173,J,07.08.2022,36.9
J174,174,J,07.08.2022,35.5
J175,175,J,07.08.2022,27.1
J176,176,J,07.08.2022,34.4
J177,177,J,07.08.2022,33.6
J178,178,J,07.08.2022,32.7
J179,179,J,07.08.2022,32.4
J180,180,J,07.08.2022,38.4
K181,181,K,07.08.2022,31.9
K182,182,K,07.08.2022,35.2
K183,183,K,07.08.2022,32.8
K184,184,K,07.08.2022,28.7
K185,185,K,07.08.2022,25.4
K186,186,K,07.08.2022,28.8
K187,187,K,07.08.2022,27.6
K188,188,K,07.08.2022,31.6
K189,189,K,07.08.2022,30.3
K190,190,K,07.08.2022,30.2
K191,191,K,07.08.2022,30.2
K192,192,K,07.08.2022,32.9
K193,193,K,07.08.2022,30.7
K194,194,K,07.08.2022,30.8
K195,195,K,07.08.2022,32.6
K196,196,K,07.08.2022,30.2
K197,197,K,07.08.2022,30.9
K198,198,K,07.08.2022,30.6
D55,55,D,07.08.2022,32.7
D56,56,D,07.08.2022,33
D57,57,D,07.08.2022,36.2
D58,58,D,07.08.2022,34.3
D59,59,D,07.08.2022,31.7
D60,60,D,07.08.2022,32.5
D61,61,D,07.08.2022,35.9
D62,62,D,07.08.2022,25.9
D63,63,D,07.08.2022,33.4
D64,64,D,07.08.2022,30.6
D65,65,D,07.08.2022,35.8
D66,66,D,07.08.2022,36.5
D67,67,D,07.08.2022,38.7
D68,68,D,07.08.2022,33.9
D69,69,D,07.08.2022,39.6
D70,70,D,07.08.2022,38.8
D71,71,D,07.08.2022,31.2
D72,72,D,07.08.2022,38.6
E73,73,E,07.08.2022,33.2
E74,74,E,07.08.2022,34.7
E75,75,E,07.08.2022,30
E76,76,E,07.08.2022,30.7
E77,77,E,07.08.2022,34.7
E78,78,E,07.08.2022,39.4
E79,79,E,07.08.2022,34.4
E80,80,E,07.08.2022,31.4
E81,81,E,07.08.2022,37.3
E82,82,E,07.08.2022,29.2
E83,83,E,07.08.2022,37.6
E84,84,E,07.08.2022,37.2
E85,85,E,07.08.2022,34.8
E86,86,E,07.08.2022,33.5
E87,87,E,07.08.2022,32.8
E88,88,E,07.08.2022,32.5
E89,89,E,07.08.2022,37.3
E90,90,E,07.08.2022,29.8
F91,91,F,07.08.2022,32.3
F92,92,F,07.08.2022,36.1
F93,93,F,07.08.2022,39.3
F94,94,F,07.08.2022,28.7
F95,95,F,07.08.2022,24.1
F96,96,F,07.08.2022,37
F97,97,F,07.08.2022,31.4
F98,98,F,07.08.2022,37.6
F99,99,F,07.08.2022,27.2
F100,100,F,07.08.2022,33.8
F101,101,F,07.08.2022,29.5
F102,102,F,07.08.2022,36.1
F103,103,F,07.08.2022,31.9
F104,104,F,07.08.2022,34.2
F105,105,F,07.08.2022,29.5
F106,106,F,07.08.2022,28.5
F107,107,F,07.08.2022,36.1
F108,108,F,07.08.2022,31.8
G109,109,G,07.08.2022,34.5
G110,110,G,07.08.2022,31.7
G111,111,G,07.08.2022,34.2
G112,112,G,07.08.2022,37.9
G113,113,G,07.08.2022,39
G114,114,G,07.08.2022,38.6
G115,115,G,07.08.2022,36.4
G116,116,G,07.08.2022,36.1
G117,117,G,07.08.2022,35.1
G118,118,G,07.08.2022,29.3
G119,119,G,07.08.2022,38.8
G120,120,G,07.08.2022,38.3
G121,121,G,07.08.2022,32.3
G122,122,G,07.08.2022,34.1
G123,123,G,07.08.2022,38.6
G124,124,G,07.08.2022,33.1
G125,125,G,07.08.2022,33.8
G126,126,G,07.08.2022,33.1
A01,1,A,07.08.2022,41.6
A02,2,A,07.08.2022,36.4
A03,3,A,07.08.2022,39.9
A04,4,A,07.08.2022,34.4
A05,5,A,07.08.2022,34.4
A06,6,A,07.08.2022,34.9
A07,7,A,07.08.2022,28.6
A08,8,A,07.08.2022,36.6
A09,9,A,07.08.2022,27.1
A10,10,A,07.08.2022,31.5
A11,11,A,07.08.2022,35.5
A12,12,A,07.08.2022,34.6
A13,13,A,07.08.2022,36.7
A14,14,A,07.08.2022,36
A15,15,A,07.08.2022,32.2
A16,16,A,07.08.2022,37.2
A17,17,A,07.08.2022,34.1
A18,18,A,07.08.2022,34.6
B19,19,B,07.08.2022,35.2
B20,20,B,07.08.2022,29
