TreeID,apical length,lateral length,week,doy,date
A01,10.92,10.74,1,237,25.08.2022
A02,17.65,22.18,1,237,25.08.2022
A03,18.9,16.56,1,237,25.08.2022
A04,14.17,16.52,1,237,25.08.2022
A05,15.5,14.48,1,237,25.08.2022
A06,30.57,18.41,1,237,25.08.2022
A07,14.38,16.94,1,237,25.08.2022
A08,15.58,18.35,1,237,25.08.2022
A09,13.8,11.33,1,237,25.08.2022
A10,16.04,15.32,1,237,25.08.2022
A11,21,22.58,1,237,25.08.2022
A12,24.32,14.5,1,237,25.08.2022
A13,14.18,16.3,1,237,25.08.2022
A14,16.63,11.86,1,237,25.08.2022
A15,19.63,14.24,1,237,25.08.2022
A16,10.69,15.81,1,237,25.08.2022
A17,21.76,16.02,1,237,25.08.2022
A18,7.82,18.44,1,237,25.08.2022
B19,15.41,12.62,1,237,25.08.2022
B20,16.33,14.36,1,237,25.08.2022
B21,12.54,18.46,1,237,25.08.2022
B22,14.15,10.19,1,237,25.08.2022
B23,14.04,11.32,1,237,25.08.2022
B24,8.81,12.53,1,237,25.08.2022
B25,13.39,19.61,1,237,25.08.2022
B26,18.25,17.61,1,237,25.08.2022
B27,8.95,9.22,1,237,25.08.2022
B28,10.97,24.98,1,237,25.08.2022
B29,18.42,19.06,1,237,25.08.2022
B30,13.13,16.75,1,237,25.08.2022
B31,19.98,12.1,1,237,25.08.2022
B32,15.03,15.99,1,237,25.08.2022
B33,9.14,10.91,1,237,25.08.2022
B34,10.31,13.65,1,237,25.08.2022
B35,8.25,24.39,1,237,25.08.2022
B36,14.17,12.95,1,237,25.08.2022
C37,16.49,15.41,1,237,25.08.2022
C38,12.12,16.65,1,237,25.08.2022
C39,9.49,10.19,1,237,25.08.2022
C40,11.45,12.91,1,237,25.08.2022
C41,32.57,20.46,1,237,25.08.2022
C42,12.73,17,1,237,25.08.2022
C43,15.52,13.29,1,237,25.08.2022
C44,21.41,17.2,1,237,25.08.2022
C45,22.25,15.77,1,237,25.08.2022
C46,16.28,14.34,1,237,25.08.2022
C47,28.34,20.68,1,237,25.08.2022
C48,7.49,15.29,1,237,25.08.2022
C49,12.34,18.8,1,237,25.08.2022
C50,14.43,24.62,1,237,25.08.2022
C51,17.34,19.95,1,237,25.08.2022
C52,16.02,16.45,1,237,25.08.2022
C53,20.62,26.93,1,237,25.08.2022
C54,9.75,20.02,1,237,25.08.2022
D55,22.29,21.43,1,237,25.08.2022
D56,21.87,18.1,1,237,25.08.2022
D57,20.57,15.31,1,237,25.08.2022
D58,19.73,16.31,1,237,25.08.2022
D59,18.15,13.94,1,237,25.08.2022
D60,,18.02,1,237,25.08.2022
D61,18.66,21.72,1,237,25.08.2022
D62,26.17,15.04,1,237,25.08.2022
D63,14.52,14.34,1,237,25.08.2022
D64,15.57,13.81,1,237,25.08.2022
D65,17.49,12.5,1,237,25.08.2022
D66,22.77,14.24,1,237,25.08.2022
D67,19.59,14.3,1,237,25.08.2022
D68,14.55,12.53,1,237,25.08.2022
D69,15.02,14.58,1,237,25.08.2022
D70,21.94,16.93,1,237,25.08.2022
D71,16.74,12.01,1,237,25.08.2022
D72,,12.19,1,237,25.08.2022
E73,24.48,14.01,1,237,25.08.2022
E74,22.86,16.94,1,237,25.08.2022
E75,22.24,,1,237,25.08.2022
E76,20.61,13.92,1,237,25.08.2022
E77,24.69,23.7,1,237,25.08.2022
E78,14.28,12.96,1,237,25.08.2022
E79,12.39,14.71,1,237,25.08.2022
E80,38.8,20.72,1,237,25.08.2022
E81,15.46,21.48,1,237,25.08.2022
E82,10.18,21.08,1,237,25.08.2022
E83,,19.78,1,237,25.08.2022
E84,22.19,16.93,1,237,25.08.2022
E85,12.24,15.85,1,237,25.08.2022
E86,20.24,16.34,1,237,25.08.2022
E87,30.09,17.21,1,237,25.08.2022
E88,14.23,21.7,1,237,25.08.2022
E89,14.84,21.83,1,237,25.08.2022
E90,9.47,20.13,1,237,25.08.2022
F100,20.04,17.86,1,237,25.08.2022
F101,7.58,12.65,1,237,25.08.2022
F102,10.83,16.27,1,237,25.08.2022
F103,16.07,15.43,1,237,25.08.2022
F104,6.44,12.4,1,237,25.08.2022
F105,20.61,11.66,1,237,25.08.2022
F106,8.92,14.78,1,237,25.08.2022
F107,10.93,16.53,1,237,25.08.2022
F108,9.47,7.5,1,237,25.08.2022
F91,,15.67,1,237,25.08.2022
F92,14.26,18.4,1,237,25.08.2022
F93,27.93,14.41,1,237,25.08.2022
F94,11.89,16.04,1,237,25.08.2022
F95,14.6,18.8,1,237,25.08.2022
F96,16.85,17.6,1,237,25.08.2022
F97,7.79,17.65,1,237,25.08.2022
F98,7.65,17.88,1,237,25.08.2022
F99,15.04,8.15,1,237,25.08.2022
G109,18.62,17.31,1,237,25.08.2022
G110,17.11,14.61,1,237,25.08.2022
G111,15.97,9.85,1,237,25.08.2022
