id,bud.type,group,lo.doy,EOS,EOS.DOY,bud.length.x,bud.length.y,diff,total.rel.growth,lo.timing,treatment.timing,cooling.level,treat.cool.combined
L199,apical,L,131,2023-09-20,263,5.81,19.98,14.170000000000002,70.92092092092092,early,Control,Control,Control.Control
L199,lateral,L,131,2023-09-20,263,4.92,18.72,13.799999999999999,73.71794871794873,early,Control,Control,Control.Control
L200,apical,L,136,2023-09-06,249,6.83,18.8,11.97,63.670212765957444,early,Control,Control,Control.Control
L200,lateral,L,136,2023-09-10,253,6.08,17.88,11.799999999999999,65.99552572706935,early,Control,Control,Control.Control
L201,apical,L,136,2023-09-25,268,5.2,19.07,13.870000000000001,72.73203985317251,early,Control,Control,Control.Control
L201,lateral,L,136,2023-09-21,264,5.31,16.78,11.470000000000002,68.35518474374256,early,Control,Control,Control.Control
L202,apical,L,131,2023-09-15,258,4.25,15.8,11.55,73.10126582278481,early,Control,Control,Control.Control
L202,lateral,L,131,2023-09-11,254,4.38,16.23,11.850000000000001,73.01293900184844,early,Control,Control,Control.Control
L203,apical,L,131,2023-09-29,272,2.6,21.86,19.259999999999998,88.10612991765782,early,Control,Control,Control.Control
L203,lateral,L,131,2023-09-13,256,7.4,15.95,8.549999999999999,53.60501567398119,early,Control,Control,Control.Control
L204,apical,L,129,2023-09-17,260,7.15,23.29,16.14,69.30012881064835,early,Control,Control,Control.Control
L204,lateral,L,129,2023-09-13,256,4.88,16.85,11.970000000000002,71.03857566765579,early,Control,Control,Control.Control
L205,apical,L,131,2023-09-23,266,4.52,18.96,14.440000000000001,76.16033755274262,early,Control,Control,Control.Control
L205,lateral,L,131,2023-09-21,264,3.22,16.53,13.31,80.52026618269812,early,Control,Control,Control.Control
L206,apical,L,121,2023-09-18,261,6,20.24,14.239999999999998,70.35573122529644,early,Control,Control,Control.Control
L206,lateral,L,121,2023-09-12,255,5.46,16.49,11.029999999999998,66.88902365069738,early,Control,Control,Control.Control
L207,apical,L,142,2023-09-19,262,5.31,19.46,14.150000000000002,72.71325796505653,early,Control,Control,Control.Control
L207,lateral,L,142,2023-09-15,258,5.2,19.61,14.41,73.4829168791433,early,Control,Control,Control.Control
L208,apical,L,129,2023-09-14,257,5.84,19.78,13.940000000000001,70.47522750252782,early,Control,Control,Control.Control
L208,lateral,L,129,2023-09-19,262,4.24,18.45,14.209999999999999,77.01897018970189,early,Control,Control,Control.Control
L209,apical,L,137,2023-09-20,263,15.33,20.23,4.9,24.221453287197235,early,Control,Control,Control.Control
L209,lateral,L,137,2023-09-19,262,5.85,19.15,13.299999999999999,69.45169712793732,early,Control,Control,Control.Control
L210,apical,L,131,2023-09-18,261,5.96,20.07,14.11,70.30393622321873,early,Control,Control,Control.Control
L210,lateral,L,131,2023-09-11,254,5.32,19.19,13.870000000000001,72.27722772277228,early,Control,Control,Control.Control
