ID,Treatment,bud_type,EOS,EOS.DOY
1,Control,apical,2022-09-30,273
1,Control,lateral,2022-09-13,256
2,Control,apical,2022-09-18,261
2,Control,lateral,2022-09-04,247
3,Control,apical,2022-09-09,252
3,Control,lateral,2022-09-04,247
4,Control,apical,2022-09-21,264
4,Control,lateral,2022-09-18,261
5,Control,apical,2022-09-23,266
5,Control,lateral,2022-09-06,249
6,Control,apical,2022-09-04,247
6,Control,lateral,2022-09-06,249
7,Control,apical,2022-09-06,249
7,Control,lateral,2022-09-03,246
8,Control,apical,2022-09-28,271
8,Control,lateral,2022-08-29,241
9,Control,apical,2022-09-06,249
9,Control,lateral,2022-09-16,259
10,Control,apical,2022-09-14,257
10,Control,lateral,2022-09-05,248
11,Control,apical,2022-09-09,252
11,Control,lateral,2022-09-05,248
12,Control,apical,2022-09-14,257
12,Control,lateral,2022-09-14,257
13,Control,apical,2022-09-29,272
13,Control,lateral,2022-09-13,256
14,Control,apical,2022-09-28,271
14,Control,lateral,2022-09-18,261
15,Control,apical,2022-09-08,251
15,Control,lateral,2022-09-02,245
16,Control,apical,2022-10-06,279
16,Control,lateral,2022-09-14,257
17,Control,apical,2022-09-17,260
17,Control,lateral,2022-09-12,255
18,Control,apical,2022-10-11,284
18,Control,lateral,2022-08-31,243
37,Control,apical,2022-10-04,277
37,Control,lateral,2022-09-14,257
38,Control,apical,2022-10-02,275
38,Control,lateral,2022-09-07,250
39,Control,apical,2022-09-21,264
39,Control,lateral,2022-09-18,261
40,Control,apical,2022-09-05,248
40,Control,lateral,2022-09-15,258
41,Control,apical,2022-08-30,242
41,Control,lateral,2022-08-26,238
42,Control,apical,2022-09-20,263
42,Control,lateral,2022-09-09,252
43,Control,apical,2022-09-19,262
43,Control,lateral,2022-09-07,250
44,Control,apical,2022-09-11,254
44,Control,lateral,2022-09-04,247
45,Control,apical,2022-09-03,246
45,Control,lateral,2022-09-10,253
46,Control,apical,2022-09-15,258
46,Control,lateral,2022-09-14,257
47,Control,apical,2022-09-01,244
47,Control,lateral,2022-09-07,250
48,Control,apical,2022-10-11,284
48,Control,lateral,2022-09-04,247
49,Control,apical,2022-10-02,275
49,Control,lateral,2022-09-05,248
50,Control,apical,2022-09-14,257
50,Control,lateral,2022-09-06,249
51,Control,apical,2022-09-28,271
51,Control,lateral,2022-09-19,262
52,Control,apical,2022-10-05,278
52,Control,lateral,2022-09-18,261
53,Control,apical,2022-09-19,262
53,Control,lateral,2022-09-06,249
54,Control,apical,2022-10-07,280
54,Control,lateral,2022-09-04,247
55,Control,apical,2022-09-13,256
55,Control,lateral,2022-09-08,251
56,Control,apical,2022-09-06,249
56,Control,lateral,2022-09-06,249
57,Control,apical,2022-09-23,266
57,Control,lateral,2022-09-07,250
58,Control,apical,2022-09-07,250
59,Control,apical,2022-09-21,264
59,Control,lateral,2022-09-23,266
60,Control,lateral,2022-09-18,261
61,Control,apical,2022-09-12,255
61,Control,lateral,2022-08-29,241
62,Control,apical,2022-09-09,252
62,Control,lateral,2022-09-18,261
63,Control,apical,2022-09-30,273
63,Control,lateral,2022-09-11,254
64,Control,apical,2022-09-29,272
64,Control,lateral,2022-09-08,251
65,Control,apical,2022-10-02,275
65,Control,lateral,2022-09-27,270
66,Control,apical,2022-09-23,266
66,Control,lateral,2022-09-16,259
67,Control,apical,2022-09-19,262
67,Control,lateral,2022-09-05,248
68,Control,apical,2022-08-30,242
68,Control,lateral,2022-09-03,246
69,Control,apical,2022-09-22,265
69,Control,lateral,2022-09-10,253
70,Control,apical,2022-09-12,255
70,Control,lateral,2022-09-05,248
71,Control,apical,2022-09-18,261
71,Control,lateral,2022-09-13,256
72,Control,lateral,2022-09-13,256
73,Pre_day,apical,2022-09-12,255
73,Pre_day,lateral,2022-09-06,249
74,Pre_day,apical,2022-09-07,250
74,Pre_day,lateral,2022-09-14,257
75,Pre_day,apical,2022-08-28,240
76,Pre_day,apical,2022-09-17,260
76,Pre_day,lateral,2022-09-27,270
77,Pre_day,apical,2022-09-07,250
77,Pre_day,lateral,2022-09-02,245
78,Pre_day,apical,2022-10-04,277
78,Pre_day,lateral,2022-09-12,255
79,Pre_day,apical,2022-10-07,280
79,Pre_day,lateral,2022-09-13,256
80,Pre_day,apical,2022-09-09,252
81,Pre_day,apical,2022-09-14,257
81,Pre_day,lateral,2022-08-26,238
82,Pre_day,apical,2022-10-11,284
83,Pre_day,lateral,2022-09-09,252
84,Pre_day,apical,2022-09-03,246
84,Pre_day,lateral,2022-08-30,242
85,Pre_day,apical,2022-10-04,277
85,Pre_day,lateral,2022-09-12,255
86,Pre_day,apical,2022-09-21,264
86,Pre_day,lateral,2022-09-08,251
87,Pre_day,apical,2022-09-08,251
87,Pre_day,lateral,2022-09-05,248
88,Pre_day,apical,2022-10-03,276
88,Pre_day,lateral,2022-09-01,244
89,Pre_day,apical,2022-09-29,272
89,Pre_day,lateral,2022-09-05,248
90,Pre_day,apical,2022-10-09,282
90,Pre_day,lateral,2022-09-06,249
91,Pre_night,lateral,2022-09-15,258
92,Pre_night,apical,2022-09-24,267
92,Pre_night,lateral,2022-09-14,257
93,Pre_night,apical,2022-09-12,255
93,Pre_night,lateral,2022-09-13,256
94,Pre_night,apical,2022-09-16,259
94,Pre_night,lateral,2022-09-08,251
95,Pre_night,apical,2022-09-17,260
95,Pre_night,lateral,2022-09-15,258
96,Pre_night,apical,2022-09-30,273
96,Pre_night,lateral,2022-09-09,252
97,Pre_night,apical,2022-09-26,269
97,Pre_night,lateral,2022-09-07,250
98,Pre_night,apical,2022-10-04,277
98,Pre_night,lateral,2022-09-09,252
99,Pre_night,apical,2022-09-01,244
100,Pre_night,apical,2022-09-11,254
100,Pre_night,lateral,2022-09-08,251
101,Pre_night,apical,2022-09-30,273
101,Pre_night,lateral,2022-09-27,270
102,Pre_night,apical,2022-10-03,276
102,Pre_night,lateral,2022-09-13,256
103,Pre_night,apical,2022-09-10,253
103,Pre_night,lateral,2022-09-10,253
104,Pre_night,apical,2022-10-06,279
104,Pre_night,lateral,2022-09-16,259
105,Pre_night,apical,2022-09-14,257
105,Pre_night,lateral,2022-09-20,263
106,Pre_night,apical,2022-09-25,268
106,Pre_night,lateral,2022-09-12,255
107,Pre_night,apical,2022-09-29,272
107,Pre_night,lateral,2022-09-13,256
108,Pre_night,apical,2022-09-23,266
108,Pre_night,lateral,2022-10-02,275
109,Pre_full,apical,2022-09-21,264
109,Pre_full,lateral,2022-09-06,249
110,Pre_full,apical,2022-09-13,256
110,Pre_full,lateral,2022-09-08,251
111,Pre_full,apical,2022-09-12,255
111,Pre_full,lateral,2022-09-10,253
112,Pre_full,apical,2022-09-11,254
112,Pre_full,lateral,2022-09-08,251
113,Pre_full,apical,2022-09-13,256
113,Pre_full,lateral,2022-09-13,256
114,Pre_full,apical,2022-09-11,254
114,Pre_full,lateral,2022-09-11,254
115,Pre_full,apical,2022-09-18,261
115,Pre_full,lateral,2022-09-17,260
116,Pre_full,lateral,2022-09-12,255
117,Pre_full,apical,2022-09-10,253
117,Pre_full,lateral,2022-09-12,255
118,Pre_full,apical,2022-09-26,269
118,Pre_full,lateral,2022-09-14,257
119,Pre_full,apical,2022-09-28,271
119,Pre_full,lateral,2022-09-22,265
120,Pre_full,apical,2022-09-24,267
120,Pre_full,lateral,2022-09-07,250
121,Pre_full,apical,2022-09-29,272
121,Pre_full,lateral,2022-09-14,257
122,Pre_full,apical,2022-10-07,280
122,Pre_full,lateral,2022-09-12,255
123,Pre_full,apical,2022-10-10,283
123,Pre_full,lateral,2022-09-06,249
124,Pre_full,apical,2022-10-08,281
124,Pre_full,lateral,2022-09-21,264
125,Pre_full,lateral,2022-09-16,259
126,Pre_full,apical,2022-10-11,284
126,Pre_full,lateral,2022-09-18,261
127,Control,apical,2022-09-26,269
127,Control,lateral,2022-09-13,256
128,Control,apical,2022-09-09,252
128,Control,lateral,2022-09-04,247
129,Control,apical,2022-10-02,275
129,Control,lateral,2022-09-15,258
130,Control,apical,2022-09-02,245
130,Control,lateral,2022-09-18,261
131,Control,apical,2022-08-27,239
131,Control,lateral,2022-09-03,246
132,Control,apical,2022-09-12,255
132,Control,lateral,2022-09-11,254
133,Control,apical,2022-09-09,252
133,Control,lateral,2022-09-03,246
134,Control,apical,2022-09-07,250
134,Control,lateral,2022-09-12,255
135,Control,apical,2022-09-12,255
135,Control,lateral,2022-09-20,263
136,Control,apical,2022-09-04,247
136,Control,lateral,2022-09-11,254
137,Control,apical,2022-10-03,276
137,Control,lateral,2022-08-31,243
138,Control,apical,2022-10-05,278
138,Control,lateral,2022-08-30,242
139,Control,lateral,2022-09-03,246
140,Control,apical,2022-09-20,263
140,Control,lateral,2022-09-14,257
141,Control,apical,2022-10-03,276
141,Control,lateral,2022-09-08,251
142,Control,apical,2022-09-16,259
142,Control,lateral,2022-09-01,244
143,Control,lateral,2022-08-28,240
144,Control,apical,2022-09-19,262
144,Control,lateral,2022-09-25,268
145,Post_day,apical,2022-09-16,259
145,Post_day,lateral,2022-08-29,241
146,Post_day,apical,2022-09-01,244
146,Post_day,lateral,2022-09-03,246
147,Post_day,apical,2022-09-18,261
148,Post_day,lateral,2022-09-28,271
149,Post_day,lateral,2022-09-12,255
150,Post_day,apical,2022-09-17,260
150,Post_day,lateral,2022-09-01,244
151,Post_day,apical,2022-09-14,257
151,Post_day,lateral,2022-09-07,250
152,Post_day,apical,2022-08-27,239
152,Post_day,lateral,2022-08-29,241
153,Post_day,apical,2022-09-14,257
154,Post_day,apical,2022-09-22,265
155,Post_day,apical,2022-09-06,249
155,Post_day,lateral,2022-09-06,249
160,Post_day,apical,2022-09-08,251
160,Post_day,lateral,2022-08-31,243
161,Post_day,apical,2022-09-10,253
161,Post_day,lateral,2022-09-06,249
162,Post_day,lateral,2022-09-06,249
163,Post_night,apical,2022-10-09,282
163,Post_night,lateral,2022-09-28,271
164,Post_night,apical,2022-09-25,268
164,Post_night,lateral,2022-09-01,244
165,Post_night,apical,2022-09-18,261
165,Post_night,lateral,2022-09-07,250
166,Post_night,apical,2022-10-01,274
166,Post_night,lateral,2022-10-03,276
167,Post_night,apical,2022-09-18,261
167,Post_night,lateral,2022-09-07,250
168,Post_night,apical,2022-09-18,261
168,Post_night,lateral,2022-09-07,250
169,Post_night,apical,2022-09-08,251
169,Post_night,lateral,2022-09-01,244
170,Post_night,apical,2022-10-07,280
170,Post_night,lateral,2022-09-12,255
171,Post_night,apical,2022-09-28,271
171,Post_night,lateral,2022-08-27,239
172,Post_night,apical,2022-09-13,256
172,Post_night,lateral,2022-09-09,252
173,Post_night,apical,2022-09-10,253
173,Post_night,lateral,2022-09-12,255
174,Post_night,apical,2022-09-20,263
174,Post_night,lateral,2022-09-05,248
175,Post_night,apical,2022-10-11,284
175,Post_night,lateral,2022-09-25,268
176,Post_night,apical,2022-09-11,254
176,Post_night,lateral,2022-09-12,255
177,Post_night,apical,2022-10-10,283
177,Post_night,lateral,2022-09-10,253
178,Post_night,apical,2022-09-28,271
178,Post_night,lateral,2022-09-18,261
179,Post_night,apical,2022-09-20,263
179,Post_night,lateral,2022-09-08,251
180,Post_night,apical,2022-09-29,272
180,Post_night,lateral,2022-09-09,252
181,Post_full,apical,2022-09-12,255
181,Post_full,lateral,2022-09-01,244
182,Post_full,apical,2022-09-02,245
182,Post_full,lateral,2022-09-02,245
183,Post_full,apical,2022-09-28,271
183,Post_full,lateral,2022-09-16,259
184,Post_full,apical,2022-10-06,279
184,Post_full,lateral,2022-09-05,248
185,Post_full,apical,2022-09-24,267
185,Post_full,lateral,2022-09-11,254
186,Post_full,apical,2022-09-04,247
186,Post_full,lateral,2022-09-05,248
187,Post_full,lateral,2022-08-29,241
188,Post_full,apical,2022-09-07,250
188,Post_full,lateral,2022-09-03,246
189,Post_full,apical,2022-09-21,264
189,Post_full,lateral,2022-09-07,250
190,Post_full,apical,2022-09-10,253
191,Post_full,apical,2022-09-26,269
191,Post_full,lateral,2022-08-31,243
192,Post_full,apical,2022-08-29,241
192,Post_full,lateral,2022-08-29,241
193,Post_full,apical,2022-08-30,242
193,Post_full,lateral,2022-09-04,247
194,Post_full,apical,2022-09-05,248
194,Post_full,lateral,2022-09-02,245
195,Post_full,apical,2022-09-19,262
195,Post_full,lateral,2022-09-03,246
196,Post_full,apical,2022-09-11,254
196,Post_full,lateral,2022-09-23,266
197,Post_full,apical,2022-09-01,244
197,Post_full,lateral,2022-09-02,245
198,Post_full,apical,2022-09-04,247
198,Post_full,lateral,2022-09-06,249
