id,group,lo.doy,cooling.level,lo.timing,treatment.timing,EOS,EOS.DOY,phenophase,treat.cool.combined
L199,L,131,Control,early,Control,2023-09-14,257,EOS10,Control.Control
L200,L,136,Control,early,Control,2023-09-23,266,EOS10,Control.Control
L201,L,136,Control,early,Control,2023-09-26,269,EOS10,Control.Control
L202,L,131,Control,early,Control,2023-09-17,260,EOS10,Control.Control
L203,L,131,Control,early,Control,2023-10-26,299,EOS10,Control.Control
L204,L,129,Control,early,Control,2023-08-29,241,EOS10,Control.Control
L205,L,131,Control,early,Control,2023-10-07,280,EOS10,Control.Control
L206,L,121,Control,early,Control,2023-10-18,291,EOS10,Control.Control
L207,L,142,Control,early,Control,2023-09-24,267,EOS10,Control.Control
L208,L,129,Control,early,Control,2023-10-23,296,EOS10,Control.Control
L209,L,137,Control,early,Control,2023-09-20,263,EOS10,Control.Control
L210,L,131,Control,early,Control,2023-10-15,288,EOS10,Control.Control
L211,L,131,Control,early,Control,2023-09-15,258,EOS10,Control.Control
L212,L,129,Control,early,Control,2023-11-02,306,EOS10,Control.Control
L213,L,129,Control,early,Control,2023-10-28,301,EOS10,Control.Control
L214,L,129,Control,early,Control,2023-07-25,206,EOS10,Control.Control
L215,L,131,Control,early,Control,2023-09-13,256,EOS10,Control.Control
L216,L,139,Control,early,Control,2023-09-06,249,EOS10,Control.Control
L218,L,125,Control,early,Control,2023-10-09,282,EOS10,Control.Control
L219,L,129,Control,early,Control,2023-10-29,302,EOS10,Control.Control
L220,L,121,Control,early,Control,2023-07-26,207,EOS10,Control.Control
L221,L,137,Control,early,Control,2023-11-05,309,EOS10,Control.Control
L222,L,129,Control,early,Control,2023-10-28,301,EOS10,Control.Control
L223,L,131,Control,early,Control,2023-10-13,286,EOS10,Control.Control
L224,L,129,Control,early,Control,2023-09-18,261,EOS10,Control.Control
L225,L,144,Control,early,Control,2023-09-22,265,EOS10,Control.Control
M226,M,148,Control,late,Control,2023-09-03,246,EOS10,Control.Control
M227,M,148,Control,late,Control,2023-10-12,285,EOS10,Control.Control
M228,M,148,Control,late,Control,2023-09-04,247,EOS10,Control.Control
M229,M,148,Control,late,Control,2023-09-17,260,EOS10,Control.Control
M230,M,148,Control,late,Control,2023-10-30,303,EOS10,Control.Control
M231,M,148,Control,late,Control,2023-08-26,238,EOS10,Control.Control
M233,M,148,Control,late,Control,2023-09-14,257,EOS10,Control.Control
M234,M,148,Control,late,Control,2023-09-21,264,EOS10,Control.Control
M235,M,148,Control,late,Control,2023-08-22,234,EOS10,Control.Control
M236,M,151,Control,late,Control,2023-10-20,293,EOS10,Control.Control
M237,M,150,Control,late,Control,2023-09-21,264,EOS10,Control.Control
M238,M,148,Control,late,Control,2023-10-28,301,EOS10,Control.Control
M239,M,148,Control,late,Control,2023-09-05,248,EOS10,Control.Control
M240,M,148,Control,late,Control,2023-10-27,300,EOS10,Control.Control
M241,M,148,Control,late,Control,2023-10-26,299,EOS10,Control.Control
M242,M,148,Control,late,Control,2023-10-28,301,EOS10,Control.Control
M243,M,148,Control,late,Control,2023-10-07,280,EOS10,Control.Control
M244,M,148,Control,late,Control,2023-10-17,290,EOS10,Control.Control
M245,M,148,Control,late,Control,2023-11-03,307,EOS10,Control.Control
M246,M,148,Control,late,Control,2023-10-05,278,EOS10,Control.Control
M247,M,148,Control,late,Control,2023-08-14,226,EOS10,Control.Control
M248,M,148,Control,late,Control,2023-09-20,263,EOS10,Control.Control
M249,M,148,Control,late,Control,2023-10-09,282,EOS10,Control.Control
M250,M,148,Control,late,Control,2023-10-24,297,EOS10,Control.Control
M251,M,148,Control,late,Control,2023-11-02,306,EOS10,Control.Control
N254,N,129,Moderate,early,July,2023-10-18,291,EOS10,July.Moderate
N255,N,125,Moderate,early,July,2023-09-19,262,EOS10,July.Moderate
N257,N,121,Moderate,early,July,2023-08-29,241,EOS10,July.Moderate
N260,N,131,Moderate,early,July,2023-10-05,278,EOS10,July.Moderate
N261,N,144,Moderate,early,July,2023-07-17,198,EOS10,July.Moderate
N262,N,138,Moderate,early,July,2023-09-20,263,EOS10,July.Moderate
N263,N,136,Moderate,early,July,2023-09-14,257,EOS10,July.Moderate
N264,N,129,Moderate,early,July,2023-11-02,306,EOS10,July.Moderate
N265,N,129,Moderate,early,July,2023-08-31,243,EOS10,July.Moderate
N266,N,129,Moderate,early,July,2023-10-24,297,EOS10,July.Moderate
N267,N,129,Moderate,early,July,2023-10-09,282,EOS10,July.Moderate
N269,N,142,Moderate,early,July,2023-11-02,306,EOS10,July.Moderate
N270,N,136,Moderate,early,July,2023-09-16,259,EOS10,July.Moderate
N272,N,129,Moderate,early,July,2023-10-03,276,EOS10,July.Moderate
N273,N,129,Moderate,early,July,2023-09-15,258,EOS10,July.Moderate
N274,N,125,Moderate,early,July,2023-10-26,299,EOS10,July.Moderate
N275,N,129,Moderate,early,July,2023-09-20,263,EOS10,July.Moderate
N276,N,136,Moderate,early,July,2023-10-28,301,EOS10,July.Moderate
N277,N,129,Moderate,early,July,2023-10-26,299,EOS10,July.Moderate
N278,N,137,Moderate,early,July,2023-10-05,278,EOS10,July.Moderate
O280,O,148,Moderate,late,July,2023-10-26,299,EOS10,July.Moderate
O281,O,150,Moderate,late,July,2023-10-06,279,EOS10,July.Moderate
O282,O,148,Moderate,late,July,2023-11-02,306,EOS10,July.Moderate
O283,O,148,Moderate,late,July,2023-11-03,307,EOS10,July.Moderate
O284,O,148,Moderate,late,July,2023-10-24,297,EOS10,July.Moderate
