id,Treatment,EOS,EOS.DOY,phenophase
A02,Control,2022-09-18,261,EOS10
A03,Control,2022-09-21,264,EOS10
A04,Control,2022-09-22,265,EOS10
A05,Control,2022-10-03,276,EOS10
A06,Control,2022-10-16,289,EOS10
A07,Control,2022-09-02,245,EOS10
A08,Control,2022-09-15,258,EOS10
A10,Control,2022-09-01,244,EOS10
A11,Control,2022-09-23,266,EOS10
A12,Control,2022-10-27,300,EOS10
A13,Control,2022-10-30,303,EOS10
A14,Control,2022-10-25,298,EOS10
A15,Control,2022-10-28,301,EOS10
A16,Control,2022-10-12,285,EOS10
A17,Control,2022-10-10,283,EOS10
A18,Control,2022-09-21,264,EOS10
C37,Control,2022-10-25,298,EOS10
C38,Control,2022-10-20,293,EOS10
C40,Control,2022-08-06,218,EOS10
C41,Control,2022-10-26,299,EOS10
C42,Control,2022-10-06,279,EOS10
C43,Control,2022-10-12,285,EOS10
C44,Control,2022-09-01,244,EOS10
C45,Control,2022-09-09,252,EOS10
C46,Control,2022-10-08,281,EOS10
C47,Control,2022-10-13,286,EOS10
C48,Control,2022-09-23,266,EOS10
C49,Control,2022-10-20,293,EOS10
C50,Control,2022-10-26,299,EOS10
C51,Control,2022-11-05,309,EOS10
C52,Control,2022-11-03,307,EOS10
C53,Control,2022-11-08,312,EOS10
C54,Control,2022-10-10,283,EOS10
D55,Control,2022-10-01,274,EOS10
D56,Control,2022-10-26,299,EOS10
D57,Control,2022-10-12,285,EOS10
D58,Control,2022-08-24,236,EOS10
D59,Control,2022-08-26,238,EOS10
D60,Control,2022-09-28,271,EOS10
D61,Control,2022-09-21,264,EOS10
D62,Control,2022-09-22,265,EOS10
D63,Control,2022-09-28,271,EOS10
D64,Control,2022-09-26,269,EOS10
D65,Control,2022-09-21,264,EOS10
D66,Control,2022-11-04,308,EOS10
D67,Control,2022-10-26,299,EOS10
D68,Control,2022-10-17,290,EOS10
D70,Control,2022-08-30,242,EOS10
D71,Control,2022-08-31,243,EOS10
D72,Control,2022-09-29,272,EOS10
E73,Pre_day,2022-10-06,279,EOS10
E74,Pre_day,2022-10-08,281,EOS10
E75,Pre_day,2022-09-27,270,EOS10
E76,Pre_day,2022-10-25,298,EOS10
E77,Pre_day,2022-10-15,288,EOS10
E78,Pre_day,2022-10-28,301,EOS10
E79,Pre_day,2022-11-04,308,EOS10
E80,Pre_day,2022-10-08,281,EOS10
E81,Pre_day,2022-09-15,258,EOS10
E82,Pre_day,2022-11-01,305,EOS10
E83,Pre_day,2022-10-08,281,EOS10
E84,Pre_day,2022-09-30,273,EOS10
E85,Pre_day,2022-10-14,287,EOS10
E86,Pre_day,2022-09-30,273,EOS10
E87,Pre_day,2022-10-05,278,EOS10
E88,Pre_day,2022-10-08,281,EOS10
E89,Pre_day,2022-10-29,302,EOS10
E90,Pre_day,2022-10-28,301,EOS10
F100,Pre_night,2022-10-12,285,EOS10
F101,Pre_night,2022-10-31,304,EOS10
F102,Pre_night,2022-10-26,299,EOS10
F103,Pre_night,2022-10-14,287,EOS10
F104,Pre_night,2022-10-17,290,EOS10
F105,Pre_night,2022-10-04,277,EOS10
F106,Pre_night,2022-10-05,278,EOS10
F108,Pre_night,2022-11-01,305,EOS10
F91,Pre_night,2022-09-22,265,EOS10
F92,Pre_night,2022-10-31,304,EOS10
F93,Pre_night,2022-08-30,242,EOS10
F94,Pre_night,2022-09-25,268,EOS10
F95,Pre_night,2022-10-19,292,EOS10
F96,Pre_night,2022-10-30,303,EOS10
F97,Pre_night,2022-10-30,303,EOS10
F98,Pre_night,2022-09-26,269,EOS10
G109,Pre_full,2022-10-07,280,EOS10
G110,Pre_full,2022-10-06,279,EOS10
G111,Pre_full,2022-09-24,267,EOS10
G112,Pre_full,2022-09-06,249,EOS10
G113,Pre_full,2022-10-28,301,EOS10
G114,Pre_full,2022-10-22,295,EOS10
G115,Pre_full,2022-10-27,300,EOS10
G116,Pre_full,2022-10-30,303,EOS10
G117,Pre_full,2022-11-01,305,EOS10
G118,Pre_full,2022-09-26,269,EOS10
G119,Pre_full,2022-11-08,312,EOS10
G120,Pre_full,2022-11-08,312,EOS10
G121,Pre_full,2022-10-30,303,EOS10
G122,Pre_full,2022-10-03,276,EOS10
G123,Pre_full,2022-10-18,291,EOS10
G124,Pre_full,2022-10-15,288,EOS10
G125,Pre_full,2022-10-28,301,EOS10
G126,Pre_full,2022-10-30,303,EOS10
H127,Control,2022-10-21,294,EOS10
H128,Control,2022-09-25,268,EOS10
H129,Control,2022-10-17,290,EOS10
H130,Control,2022-09-22,265,EOS10
H131,Control,2022-10-05,278,EOS10
H132,Control,2022-09-12,255,EOS10
H133,Control,2022-10-13,286,EOS10
H134,Control,2022-10-14,287,EOS10
H135,Control,2022-09-12,255,EOS10
H136,Control,2022-09-07,250,EOS10
H137,Control,2022-09-01,244,EOS10
H138,Control,2022-10-26,299,EOS10
H139,Control,2022-09-04,247,EOS10
H140,Control,2022-10-11,284,EOS10
H141,Control,2022-10-27,300,EOS10
H142,Control,2022-10-10,283,EOS10
H144,Control,2022-10-07,280,EOS10
I145,Post_day,2022-10-26,299,EOS10
I146,Post_day,2022-10-26,299,EOS10
I147,Post_day,2022-10-02,275,EOS10
I148,Post_day,2022-10-06,279,EOS10
I149,Post_day,2022-09-30,273,EOS10
I150,Post_day,2022-10-04,277,EOS10
I151,Post_day,2022-10-06,279,EOS10
I152,Post_day,2022-09-08,251,EOS10
I154,Post_day,2022-09-17,260,EOS10
I155,Post_day,2022-09-03,246,EOS10
I157,Post_day,2022-09-02,245,EOS10
I159,Post_day,2022-09-21,264,EOS10
I160,Post_day,2022-09-30,273,EOS10
I161,Post_day,2022-09-24,267,EOS10
I162,Post_day,2022-09-25,268,EOS10
J163,Post_night,2022-10-26,299,EOS10
J164,Post_night,2022-10-24,297,EOS10
J165,Post_night,2022-10-04,277,EOS10
J166,Post_night,2022-10-20,293,EOS10
J167,Post_night,2022-09-04,247,EOS10
J168,Post_night,2022-10-26,299,EOS10
J169,Post_night,2022-10-17,290,EOS10
J170,Post_night,2022-09-11,254,EOS10
J171,Post_night,2022-10-15,288,EOS10
J172,Post_night,2022-09-16,259,EOS10
J173,Post_night,2022-10-08,281,EOS10
J175,Post_night,2022-10-04,277,EOS10
J176,Post_night,2022-10-07,280,EOS10
J177,Post_night,2022-09-26,269,EOS10
J178,Post_night,2022-10-15,288,EOS10
J179,Post_night,2022-09-07,250,EOS10
K181,Post_full,2022-10-08,281,EOS10
K183,Post_full,2022-10-21,294,EOS10
